Genre,Publisher,Rating,Greatest_Sales
Fighting,THQ,?,NA
Action,Nintendo,E10+,JP
Action,Ubisoft,M,EU
Misc,Konami Digital Entertainment,?,EU
Action,Deep Silver,M,NA
Shooter,Vivendi Games,M,NA
Action,THQ,T,EU
Sports,505 Games,E,NA
Sports,Electronic Arts,E,NA
Sports,Activision,T,NA
Sports,Take-Two Interactive,E10+,NA
Sports,Electronic Arts,E,NA
Platform,Nintendo,?,JP
Racing,Take-Two Interactive,T,NA
Platform,Nintendo,?,JP
Role-Playing,Eidos Interactive,?,JP
Misc,Microsoft Game Studios,E10+,NA
Action,NCSoft,T,EU
Fighting,THQ,T,Other
Action,LucasArts,E10+,NA
Action,Capcom,M,JP
Sports,Microsoft Game Studios,E,NA
Role-Playing,Nintendo,E,JP
Sports,Electronic Arts,E,Other
Sports,Ubisoft,E,EU
Sports,Nintendo,?,JP
Action,Take-Two Interactive,?,EU
Shooter,Electronic Arts,T,EU
Racing,Electronic Arts,E,NA
Role-Playing,SquareSoft,?,JP
Sports,989 Studios,?,NA
Shooter,Ubisoft,M,NA
Action,Warner Bros. Interactive Entertainment,T,Other
Puzzle,Nintendo,?,JP
Action,Level 5,?,JP
Action,LucasArts,E10+,Other
Action,Eidos Interactive,?,EU
Racing,Electronic Arts,E,NA
Action,Warner Bros. Interactive Entertainment,E10+,EU
Sports,Konami Digital Entertainment,E,JP
Shooter,Ubisoft,M,EU
Simulation,Electronic Arts,T,NA
Platform,Nintendo,?,JP
Sports,Electronic Arts,E,Other
Role-Playing,Nintendo,E,JP
Racing,Codemasters,?,EU
Misc,Sega,E10+,NA
Action,Deep Silver,M,Other
Platform,Nintendo,E,JP
Platform,Nintendo,E,JP
Sports,Electronic Arts,E,NA
Role-Playing,Nintendo,?,JP
Shooter,Microsoft Game Studios,M,NA
Racing,Microsoft Game Studios,E,NA
Adventure,Capcom,M,JP
Sports,Electronic Arts,E,NA
Sports,UEP Systems,?,NA
Role-Playing,Nintendo,E,JP
Action,Warner Bros. Interactive Entertainment,E10+,NA
Action,Sony Computer Entertainment,M,Other
Misc,Activision,T,NA
Platform,Sega,E,NA
Action,Ubisoft,M,NA
Misc,Sega,E,EU
Misc,Ubisoft,E,NA
Shooter,Activision,T,EU
Platform,Nintendo,E,NA
Fighting,Square Enix,T,JP
Platform,Vivendi Games,E,NA
Shooter,Take-Two Interactive,M,Other
Action,Konami Digital Entertainment,?,NA
Simulation,Konami Digital Entertainment,E10+,EU
Action,Ubisoft,T,EU
Role-Playing,Nintendo,T,JP
Adventure,Nintendo,?,JP
Action,Capcom,?,NA
Action,LucasArts,T,Other
Action,Capcom,?,EU
Misc,Activision,T,NA
Action,Parker Bros.,?,NA
Misc,Electronic Arts,T,NA
Racing,Electronic Arts,E10+,EU
Sports,Namco Bandai Games,?,JP
Platform,Nintendo,?,JP
Action,Activision,E,NA
Sports,Electronic Arts,E,Other
Shooter,Take-Two Interactive,M,NA
Puzzle,Disney Interactive Studios,?,EU
Role-Playing,Activision,T,NA
Platform,Nintendo,?,JP
Misc,Nintendo,?,JP
Action,Konami Digital Entertainment,E,JP
Action,THQ,M,NA
Sports,Electronic Arts,E,EU
Role-Playing,Konami Digital Entertainment,?,JP
Racing,THQ,E,NA
Role-Playing,Nintendo,?,JP
Racing,Sony Computer Entertainment,E,EU
Simulation,Nintendo,?,NA
Sports,Nintendo,?,JP
Role-Playing,Square Enix,T,NA
Platform,Activision,E10+,NA
Puzzle,Warner Bros. Interactive Entertainment,E10+,NA
Simulation,Electronic Arts,T,NA
Platform,Sega,E10+,NA
Shooter,Sony Computer Entertainment,?,NA
Role-Playing,Nintendo,E,JP
Sports,Nintendo,?,JP
Action,Square Enix,M,Other
Action,Warner Bros. Interactive Entertainment,M,Other
Racing,Nintendo,?,NA
Misc,Nintendo,?,JP
Role-Playing,Nintendo,?,JP
Simulation,Maxis,?,NA
Shooter,Imagic,?,NA
Shooter,Activision,T,Other
Sports,Ubisoft,E,NA
Simulation,Konami Digital Entertainment,E,EU
Role-Playing,SquareSoft,E,JP
Racing,Microsoft Game Studios,E,NA
Sports,Nintendo,?,JP
Sports,Take-Two Interactive,E,NA
Misc,Sony Computer Entertainment Europe,?,JP
Sports,Take-Two Interactive,E,NA
Shooter,Electronic Arts,M,EU
Sports,Activision,?,NA
Racing,Electronic Arts,E,NA
Sports,Konami Digital Entertainment,?,EU
Action,Tecmo Koei,T,JP
Fighting,Warner Bros. Interactive Entertainment,M,NA
Role-Playing,Nintendo,?,JP
Role-Playing,SquareSoft,M,JP
Puzzle,Nintendo,E,JP
Action,Take-Two Interactive,E,NA
Shooter,Take-Two Interactive,M,NA
Action,Microsoft Game Studios,?,NA
Platform,THQ,?,NA
